item_id,范畴,次范畴,学习能力,项目,目标,备注（观察？）,评估辅助物品,评估方法,成功标准,最小月龄,最大月龄
2-0-0-4-0,自理,自理进食技能,进食技能,基本进食技能,辨别能吃和不能吃的东西,暂无,暂无,暂无,暂无,0,24
2-0-0-4-1,自理,自理进食技能,进食技能,使用勺子和碗吃饭,接受用勺子喂着吃糊状食物,暂无,暂无,暂无,暂无,4,6
2-1-0-0-0,自理,自理进食技能,进食技能,使用勺子和碗吃饭,用手掌心握勺子,暂无,暂无,暂无,暂无,0,24
2-1-0-0-1,自理,自理进食技能,进食技能,使用勺子和碗吃饭,握勺子并且把食物送进口里（勺子里有食物）,暂无,暂无,暂无,暂无,0,24
2-1-0-0-2,自理,自理进食技能,进食技能,使用勺子和碗吃饭,用勺子吃饭,建议尽可能在日常程序下观察儿童表现，假若未能观察，才在评估期间进行。,勺子、米饭或儿童喜欢的食物半碗、碗,请儿童用勺子吃碗里的食物 ， 观察儿童用勺子吃饭的表现,自己用勺子从碗里舀食物，把食物放进口里，再把空勺子放回碗里，最少完成来回3次，而且没有撒漏,13,36
2-1-0-1-0,自理,自理进食技能,进食技能,使用勺子和碗吃饭,一只手扶着碗，另一只手用勺子从碗里臼食物,暂无,暂无,暂无,暂无,13,36
2-1-0-1-1,自理,自理进食技能,进食技能,使用勺子和碗吃饭,用手指拿勺子,暂无,暂无,暂无,暂无,13,36
2-1-0-1-2,自理,自理进食技能,进食技能,使用勺子和碗吃饭,用勺子吃饭，并且大致保持清洁,暂无,暂无,暂无,暂无,25,48
2-1-0-1-3,自理,自理进食技能,进食技能,使用筷子,用筷子把食物扒进口里,建议尽可能在日常程序下观察儿童表现，假若未能观察，才在评估期间进行。,筷子1对、碗1个（碗里盛半碗米饭或儿童喜欢的食物,把米饭（或者其他食物）和筷子递给儿童，请儿童吃饭，观察儿童用筷子把食物扒进口里的表现,用筷子把食物扒进口里，并且只撒出来一点儿,25,48
2-1-0-2-0,自理,自理进食技能,进食技能,使用筷子,用筷子夹食物,建议尽可能在日常程序下观察儿童表现，假若未能观察，才在评估期间进行。,筷子1对、食物1碟，包括青菜的茎、肉片或者家常菜（形状大小与提到的食物类似）,把1碟菜和筷子递给儿童，请儿童吃饭，观察儿童的表现,用筷子夹起不同形状、大小的食物，放进口里,37,60
2-1-0-2-1,自理,自理进食技能,进食技能,使用其他餐具,用牙签取食物,暂无,暂无,暂无,暂无,13,36
2-1-0-2-2,自理,自理进食技能,进食技能,使用其他餐具,用叉子取食物,建议尽可能在日常程序下观察儿童表现，假若未能观察，才在评估期间进行。,叉子、固体食物最少4件,把叉子和1碟零食递给儿童，请儿童吃，观察儿童的表现,用叉子从碟子里叉取食物，并且能适当地把食物放进口里（儿童可以用不同的方法拿叉子，评估员记录儿童的抓握方法）,13,36
2-1-0-2-3,自理,自理进食技能,进食技能,使用其他餐具,用叉吃比较难控制的食物,暂无,暂无,暂无,暂无,13,36
2-1-0-2-4,自理,自理进食技能,进食技能,使用其他餐具,用刀切开软的食物,建议尽可能在日常程序下观察儿童表现，假若未能观察，才在评估期间进行。,安全塑料刀 1把、食物（香蕉、香肠、条状软面包）,示范用刀切食物，然后把刀和食物递给儿童，请儿童切（最少尝试2种不同的食物），观察儿童的表现,把食物切开，最少一分为二  ,25,48
2-1-0-2-5,自理,自理进食技能,进食技能,使用其他餐具,用刀把牛油或者果酱涂在面包上,暂无,暂无,暂无,暂无,37,60
2-1-0-3-0,自理,自理进食技能,进食技能,难度较高的进食技能,粗略地吐出食物的核儿或者骨头,暂无,暂无,暂无,暂无,25,48
2-1-0-3-1,自理,自理进食技能,进食技能,难度较高的进食技能,用于拿着鸡翅膀，并且吃掉骨头上的肉,暂无,暂无,暂无,暂无,37,60
2-1-0-3-2,自理,自理进食技能,进食技能,处理食物包装,剥开糖纸,暂无,暂无,暂无,暂无,25,48
2-1-0-3-3,自理,自理进食技能,进食技能,处理食物包装,剥掉软的食物外皮,暂无,暂无,暂无,暂无,25,48
2-1-0-4-0,自理,自理进食技能,进食技能,处理食物包装,处理纸盒包装的饮料，并且不撒出来,建议尽可能在日常程序下观察儿童表现，假若未能观察，才在评估期间进行。,盒装饮料1盒（125毫升装）、吸管1支,把盒装饮料和吸管递给儿童，请儿童喝，观察儿童处理此盒饮料的表现（可以提示儿童不要把饮料撒出来）,自己把吸管插进小孔，并且能拿着纸盒饮料喝，而且没撤出来,25,48
2-1-0-4-1,自理,自理进食技能,进食技能,处理食物包装,拧开瓶装饮料的瓶盖喝饮料,暂无,暂无,暂无,暂无,25,48
2-1-0-4-2,自理,自理进食技能,进食技能,处理食物包装,把饮料从小水壶里倒出，并且不撒出来,建议尽可能在日常程序下观察儿童表现，假若未能观察，才在评估期间进行。,小水壶、杯子、半壶饮料,请儿童把饮料从水壶倒出杯，观察儿童的表现,把饮料倒进杯子里而且没撒出来,37,60
2-1-0-5-0,自理,自理进食技能,进食技能,处理食物包装,撕开食物的包装袋,建议尽可能在日常程序下观察儿童表现，假若未能观察，才在评估期间进行。,密封包装的食物3包,示范打开食物包装，然后把2包食物递给儿童 ，请儿童打开，观察儿童的表现,把食物包装袋打开，完成2包,37,60
2-1-0-5-1,自理,自理进食技能,进食技能,处理食物包装,用于撕开盖掩式包装的食物,暂无,暂无,暂无,暂无,49,72
2-1-0-5-2,自理,自理进食技能,进食技能,处理食物包装,拉开罐装饮料的盖子喝，并且不撒出来,暂无,暂无,暂无,暂无,49,72
2-1-0-5-3,自理,自理如厕技能,如厕技能,如厕能力,安静坐在马桶上如厕 - 大使,该评估项目只适合在日常生活中观察或咨询家长或照顾者，不宜勉强加插在评估时间内进行。,儿童便盆 （儿童常用的较为理想）,当儿童有便意时，让儿童坐在使盆上完成如厕过程，观察儿童的表现,坐在便盆上完成大使过程,0,24
2-1-0-5-4,自理,自理如厕技能,如厕技能,如厕能力,安静坐在马桶上如厕 -小便,该评估项目只适合在日常生活中观察或咨询家长或照顾者，不宜勉强加插在评估时间内进行。,儿童便盆 （儿童常用的较为理想）,当儿童有便意时，让儿童坐在使盆上完成如厕过程，观察儿童的表现,坐在便盆上完成小使过程,13,36
2-1-0-6-0,自理,自理如厕技能,如厕技能,如厕能力,安静坐在儿童马桶上如厕,该评估项目只适合在日常生活中观察或咨询家长或照顾者，不宜勉强加插在评估时间内进行。,儿童平常穿的内裤和裤子,当儿童有便意时，让儿童坐在大人马桶上，完成如厕过程，观察儿童的表现,坐在大人马桶上完成如厕过程,13,36
2-1-0-6-1,自理,自理如厕技能,如厕技能,如厕能力,站在尿槽前对准尿槽小便（男孩子）,暂无,暂无,暂无,暂无,13,36
2-1-0-6-2,自理,自理如厕技能,如厕技能,如厕能力,安静坐在大人马桶上如厕,暂无,暂无,暂无,暂无,37,60
2-1-0-6-3,自理,自理如厕技能,如厕技能,如厕时所需的穿脱衣服能力,如厕前自己脱下裤子 （松紧带或者扣子已经解开）,暂无,暂无,暂无,暂无,0,24
2-1-0-7-0,自理,自理如厕技能,如厕技能,如厕时所需的穿脱衣服能力,如厕前自己脱下裤子和内裤（松紧带或者扣子已经解开）,该评估项目只适合在日常生活中观察或咨询家长或照顾者，不宜勉强加插在评估时间内进行。,暂无,如厕前，让儿童自己脱裤子和内裤，观察儿童的表现,在如厕前自己脱裤子和内裤,13,36
2-1-0-7-1,自理,自理如厕技能,如厕技能,如厕时所需的穿脱衣服能力,如厕后自己提上裤子,暂无,暂无,暂无,暂无,13,36
2-1-0-7-2,自理,自理如厕技能,如厕技能,如厕时所需的穿脱衣服能力,如厕后自己提上内裤和裤子,该评估项目只适合在日常生活中观察或咨询家长或照顾者，不宜勉强加插在评估时间内进行。,儿童平常穿的内裤和裤子,如厕后，让儿童自己提上内裤和裤子，观察儿童的表现,如厕后自己提上内裤和裤子,13,36
2-1-0-7-3,自理,自理如厕技能,如厕技能,清洁能力,如厕后自己洗手,该评估项目只适合在日常生活中观察或咨询家长或照顾者，不宜勉强加插在评估时间内进行。,厕所里的洗手盆,让儿童在如厕后自己去洗手盆完成洗手的过程（开、关水龙头和冲洗双手），洗手盆和水龙头的高度应该是儿童能操作的高度，观察儿童的表现。（可以提示儿童去洗手盆洗手 ）,粗略地完成洗手过程,13,36
2-1-0-8-0,自理,自理如厕技能,如厕技能,清洁能力,（女孩子）小便后自己用卫生纸清洁,暂无,暂无,暂无,暂无,37,60
2-1-0-8-1,自理,自理如厕技能,如厕技能,清洁能力,如厕后冲水,该评估项目只适合在日常生活中观察或咨询家长或照顾者，不宜勉强加插在评估时间内进行。,有拉动式或按压式冲水设施的厕所,让儿童在如厕后拉动或按压冲水设施，观察儿童的表现,有 「 上完厕所后冲水 」的意识，并且能拉动或按压冲水设施,25,48
2-1-0-8-2,自理,自理如厕技能,如厕技能,清洁能力,撕下所需的卷装卫生纸,暂无,卷筒卫生纸,让儿童进行如厕过程（清洁时或者洗手后），伸手接触到卷筒卫生纸，观察儿童的表现,撕下卷筒卫生纸,37,60
2-1-0-8-3,自理,自理如厕技能,如厕技能,清洁能力,大便后，撕下所需的卷装卫生纸，折叠好，准备清洁,暂无,卷筒卫生纸,让儿童在可以伸手接触到卫生纸的范围里撕下卫生纸折叠，观察儿童的表现,自己撕下卷筒卫生纸，并且折叠好准备清洁,49,72
2-1-0-8-4,自理,自理如厕技能,如厕技能,清洁能力,大使后用厕纸清洁干净,该评估项目只适合在日常生活中观察或咨询家长或照顾者，不宜勉强加插在评估时间内进行。,已经折叠好的卫生纸,让儿童在大便后用卫生纸进行清洁，观察儿童的表现（可以提供已经折好的卫生纸）,拿着卫生纸伸手向后擦，并且擦干净,49,72
2-1-0-8-5,自理,自理如厕技能,如厕技能,辨别厕所,找出马桶或者尿槽的位置,暂无,暂无,暂无,暂无,13,36
2-2-0-0-0,自理,自理如厕技能,如厕技能,辨别厕所,分辨男、女厕所的标志,该评估项目只适合在日常生活中观察或咨询家长或照顾者，不宜勉强加插在评估时间内进行。,有男女标志的厕所,"让儿童在厕所外观察,分辨男、女厕所，并且进入符合自己性别的厕所，观察儿童的表现",自己按照标志分辨男女厕所，并且选择适合自己的厕所,25,48
2-2-0-0-1,自理,自理如厕技能,如厕技能,表达需要的能力,表示已经尿裤子或者已经大便,暂无,暂无,暂无,暂无,0,24
2-2-0-0-2,自理,自理如厕技能,如厕技能,表达需要的能力,在如厕前用于势、沟通图或者声音表示如厕需要,该评估项目只适合在日常生活中观察或咨询家长或照顾者，不宜勉强加插在评估时间内进行。,暂无,观察儿童在日常生活中的表现,用手势、沟通图或者声音表示需要,0,24
2-2-0-0-3,自理,自理如厕技能,如厕技能,表达需要的能力,主动说出如厕的需要,该评估项目只适合在日常生活中观察或咨询家长或照顾者，不宜勉强加插在评估时间内进行。,暂无,观察儿童在日常生活中的表现,主动说出（不包括手势、沟通图或者声音）如厕需要,13,36
2-2-0-1-0,自理,自理穿衣技能,穿衣技能,脱鞋子,把已经脱到脚后跟的鞋完全脱下,暂无,暂无,暂无,暂无,0,24
2-2-0-1-1,自理,自理穿衣技能,穿衣技能,脱鞋子,用手握着后跟向下把鞋子推离脚后跟,暂无,暂无,暂无,暂无,0,24
2-2-0-1-2,自理,自理穿衣技能,穿衣技能,脱鞋子,推脱鞋子,建议尽可能在日常程序下观察儿童表现，假若未能观察，才在评估期间进行。,皮鞋或球鞋(鞋带或鞋扣已经解开1对）,请儿童脱掉穿在脚上的鞋子（儿童可以坐在椅子或者垫子上进行），观察儿童的表现,自己用手握着鞋鞋子脱掉，完成1对,13,36
2-2-0-1-3,自理,自理穿衣技能,穿衣技能,脱袜子,把已经拉到脚掌部位的袜子完全拉脱,暂无,暂无,暂无,暂无,0,24
2-2-0-1-4,自理,自理穿衣技能,穿衣技能,脱袜子,把拇指插进袜子口里，并且尝试推脱袜子,暂无,袜子1对,协助儿童把袜子拉过脚跟，让儿童自己脱下袜子,脱掉袜子，完成1对,0,24
2-2-0-1-5,自理,自理穿衣技能,穿衣技能,脱袜子,拉脱袜子,暂无,袜子1对,请自己脱掉穿在脚上的袜子（儿童可以坐在椅子或者垫子上进行）观察儿童的表现,拇指插进袜子口把袜子脱下来，或者用手抓着袜子头，把袜子脱下来,13,36
2-2-0-1-6,自理,自理穿衣技能,穿衣技能,脱裤子,用双手 把裤腰已经推脱到臀部的裤子向下脱（但不用脱到脚部）,暂无,暂无,暂无,暂无,0,24
2-2-0-1-7,自理,自理穿衣技能,穿衣技能,脱裤子,用双手拉开并且脱下已经套在腰间的布套 （弹性布套长7.5厘米，宽25厘米）,暂无,暂无,暂无,暂无,0,24
2-2-0-2-0,自理,自理穿衣技能,穿衣技能,脱裤子,坐着并且把裤腰已经脱到小腿的裤子推到脚部,暂无,暂无,暂无,暂无,0,24
2-2-0-2-1,自理,自理穿衣技能,穿衣技能,脱裤子,脱下短裤,暂无,暂无,暂无,暂无,0,24
2-2-0-2-2,自理,自理穿衣技能,穿衣技能,脱裤子,脱下内裤,暂无,暂无,暂无,暂无,0,24
2-2-0-2-3,自理,自理穿衣技能,穿衣技能,脱裤子,脱下长裤,建议尽可能在日常程序下观察儿童表现，假若未能观察，才在评估期间进行。,长裤1条（松紧带裤或者扣子、拉链已经解开）,请儿童自己脱裤子，观察儿童的表现,自己把手或者拇指插进裤腰，往下推、拉长裤，并且把裤子从脚上脱下来,13,36
2-2-0-3-0,自理,自理穿衣技能,穿衣技能,脱上衣,把已经穿在于腕上的橡皮圈脱下（橡皮圈一对长约5厘米）,暂无,暂无,暂无,暂无,0,24
2-2-0-3-1,自理,自理穿衣技能,穿衣技能,脱上衣,把袖子已经脱离到肩膀的开襟背心、外套脱下,暂无,暂无,暂无,暂无,0,24
2-2-0-3-2,自理,自理穿衣技能,穿衣技能,脱上衣,抓握衣襟向后翻使袖子脱离肩膀,暂无,暂无,暂无,暂无,13,36
2-2-0-3-3,自理,自理穿衣技能,穿衣技能,脱上衣,脱掉背心（系扣部分已经解开）,暂无,暂无,暂无,暂无,13,36
2-2-0-3-4,自理,自理穿衣技能,穿衣技能,脱上衣,脱外套或者衬衫,建议尽可能在日常程序下观察儿童表现，假若未能观察，才在评估期间进行。,长袖开襟外套或者衬衫1件（纽扣部分已经解开）,请儿童脱下穿在身上的外套，观察儿童的表现,自己用双手抓握左右衣襟，向后翻，双手向后伸，一只手抓着另一边的袖口向下拉，先脱下一只袖子，再脱下另一只袖子（注：如果儿童只是摆动双手，就让袖子脱下来，则属于未能达标完成）,13,36
2-2-0-3-5,自理,自理穿衣技能,穿衣技能,脱上衣,伸手在背后拉脱穿在手臂上的长袖子 （ 长袖子一对）,暂无,暂无,暂无,暂无,25,48
2-2-0-3-6,自理,自理穿衣技能,穿衣技能,脱上衣,脱短袖的开襟衬衫（系扣部分已经解开）,暂无,暂无,暂无,暂无,25,48
2-2-0-4-0,自理,自理穿衣技能,穿衣技能,脱T-恤,把已经脱到头部 （在鼻梁左右）的T-恤完全脱下,暂无,暂无,暂无,暂无,0,24
2-2-0-4-1,自理,自理穿衣技能,穿衣技能,脱T-恤,把已经脱掉一只袖子的T-恤完全脱下,暂无,暂无,暂无,暂无,0,24
2-2-0-4-2,自理,自理穿衣技能,穿衣技能,脱T-恤,把已经套在腰间的弹性布套向上拉并且完全脱下（弹性布套长25厘米，宽25厘米）,暂无,暂无,暂无,暂无,13,36
2-2-0-4-3,自理,自理穿衣技能,穿衣技能,脱T-恤,脱T-恤,建议尽可能在日常程序下观察儿童表现，假若未能观察，才在评估期间进行。,T-恤1件,请儿童脱掉穿在身上的T恤，观察儿童的表现,自己双手交叉抓握衣服左右下摆向上拉到肩膀，然后再拉过头（或者先把一只手向下缩，脱掉袖子，再脱另一只袖子）（注：儿童如果用手抓着衣领把衣服脱掉，也属于达标完成）,37,60
2-2-0-5-0,自理,自理穿衣技能,穿衣技能,脱其他衣物,脱掉帽子,暂无,暂无,暂无,暂无,0,24
2-2-0-5-1,自理,自理穿衣技能,穿衣技能,脱其他衣物,拉脱手套,暂无,暂无,暂无,暂无,0,24
2-2-0-5-2,自理,自理穿衣技能,穿衣技能,穿鞋子,配合把脚伸进大人代为张开的鞋口里,暂无,暂无,暂无,暂无,0,24
2-2-0-5-3,自理,自理穿衣技能,穿衣技能,穿鞋子,用双手拉着鞋口的两侧并且把它向外拉开,暂无,暂无,暂无,暂无,0,24
2-2-0-5-4,自理,自理穿衣技能,穿衣技能,穿鞋子,穿上鞋子,建议尽可能在日常程序下观察儿童表现，假若未能观察，才在评估期间进行。,皮鞋或球鞋(鞋带或鞋扣已经解开1对）,请儿童穿上已经解开了的鞋子，观察儿童的表现,用手把鞋子穿在脚上，并且能把鞋子穿到鞋跟（或者把手指插进鞋跟里，然后勾上），完成1对,25,48
2-2-0-5-5,自理,自理穿衣技能,穿衣技能,穿鞋子,分辨鞋子的左右,建议尽可能在日常程序下观察儿童表现，假若未能观察，才在评估期间进行。,鞋子1对(鞋带或鞋扣已经解开）,把鞋子左右调换或者不规则地放在儿童面前，请儿童穿上，观察儿童的表现,正确地穿上左右鞋子,37,60
2-2-0-5-6,自理,自理穿衣技能,穿衣技能,穿袜子,配合把脚伸进已经拉开的袜子口,暂无,暂无,暂无,暂无,0,24
2-2-0-5-7,自理,自理穿衣技能,穿衣技能,穿袜子,把橡皮圈套在脚上（橡皮圈一对长约5厘米）,暂无,暂无,暂无,暂无,0,24
2-3-0-0-0,自理,自理穿衣技能,穿衣技能,穿袜子,穿上没有后跟的袜子,暂无,暂无,暂无,暂无,13,36
2-3-0-0-1,自理,自理穿衣技能,穿衣技能,穿袜子,把袜子翻回正面,暂无,暂无,暂无,暂无,25,48
2-3-0-0-2,自理,自理穿衣技能,穿衣技能,穿袜子,正确地穿上有后跟的袜子,建议尽可能在日常程序下观察儿童表现，假若未能观察，才在评估期间进行。,袜子1对,把袜子递给儿童，请儿童穿上，观察儿童 把的表现,穿上袜子并且能正确地把袜子的后跟移到脚跟位置，完成1对,37,60
2-3-0-0-3,自理,自理穿衣技能,穿衣技能,穿袜子,分辨袜子的里外,暂无,暂无,暂无,暂无,37,60
2-3-0-0-4,自理,自理穿衣技能,穿衣技能,穿袜子,分辨左右不同印花的袜子,暂无,暂无,暂无,暂无,37,60
2-3-0-0-5,自理,自理穿衣技能,穿衣技能,穿裤子,配合把脚伸进大人代为张开的裤管里,暂无,暂无,暂无,暂无,0,24
2-3-0-1-0,自理,自理穿衣技能,穿衣技能,穿裤子,把已经套在小腿上的弹性布套拉到腰间（弹性布套长7.5厘米，宽25厘米）,暂无,暂无,暂无,暂无,0,24
2-3-0-1-1,自理,自理穿衣技能,穿衣技能,穿裤子,坐着并且把脚分别伸进不同的裤管里（大人己经把裤子的位置摆放正确）,暂无,暂无,暂无,暂无,0,24
2-3-0-1-2,自理,自理穿衣技能,穿衣技能,穿裤子,穿短裤,暂无,暂无,暂无,暂无,13,36
2-3-0-1-3,自理,自理穿衣技能,穿衣技能,穿裤子,穿长裤,建议尽可能在日常程序下观察儿童表现，假若未能观察，才在评估期间进行。,长裤1条（松紧带裤或者扣子、拉链已经解开）,把1条前后、正反已经正确放好的长裤递给儿童，请儿童穿上，观察儿童的表现。儿童可以坐在凳子上穿,用双手的拇指和食指握着裤腰的两边，把两条腿先后伸进左右裤腿里，然后把裤腰拉到腰部,25,48
2-3-0-2-0,自理,自理穿衣技能,穿衣技能,穿裤子,分辨裤子的里外,暂无,暂无,暂无,暂无,37,60
2-3-0-2-1,自理,自理穿衣技能,穿衣技能,穿裤子,把裤管翻回到正面,暂无,暂无,暂无,暂无,37,60
2-3-0-2-2,自理,自理穿衣技能,穿衣技能,穿裤子,分辨裤子的前后,暂无,暂无,暂无,暂无,37,60
2-3-0-2-3,自理,自理穿衣技能,穿衣技能,穿上衣,配合把手伸进大人代为张开的衣服袖子里,暂无,暂无,暂无,暂无,0,24
2-3-0-2-4,自理,自理穿衣技能,穿衣技能,穿上衣,把橡皮圈套上手臂（橡皮圈一对长约5厘米）,暂无,暂无,暂无,暂无,0,24
2-3-0-2-5,自理,自理穿衣技能,穿衣技能,穿上衣,把已经穿上一只袖子，并且衣领已经放在颈后的背心穿好,暂无,暂无,暂无,暂无,13,36
2-3-0-3-0,自理,自理穿衣技能,穿衣技能,穿上衣,穿上开襟背心,暂无,暂无,暂无,暂无,13,36
2-3-0-3-1,自理,自理穿衣技能,穿衣技能,穿上衣,穿上外套或者衬衫,建议尽可能在日常程序下观察儿童表现，假若未能观察，才在评估期间进行。,长袖外套或者衬衫,把外套递给儿童，请儿童穿上。（正面向外、前幅向儿童、衣领向上），观察儿童的表现,一只手拿着一边衣襟或者衣领，另 一只手伸进同一边的袖子里 ， 然后再穿另 一边的袖子，把外套或者衬衣穿好,25,48
2-3-0-4-0,自理,自理穿衣技能,穿衣技能,穿上衣,分辨外套的前后,暂无,暂无,暂无,暂无,37,60
2-3-0-4-1,自理,自理穿衣技能,穿衣技能,穿上衣,分辨外套的里外,暂无,暂无,暂无,暂无,37,60
2-3-0-4-2,自理,自理穿衣技能,穿衣技能,穿上衣,把外套翻回到正面,暂无,暂无,暂无,暂无,49,72
2-3-0-4-3,自理,自理穿衣技能,穿衣技能,穿T-恤,配合伸手把已经套在头上的T-恤往下拉到脖子,暂无,暂无,暂无,暂无,0,24
2-3-0-4-4,自理,自理穿衣技能,穿衣技能,穿T-恤,把已经穿上一只油子的T-恤穿好,暂无,暂无,暂无,暂无,13,36
2-3-0-4-5,自理,自理穿衣技能,穿衣技能,穿T-恤,穿上T-恤,建议尽可能在日常程序下观察儿童表现，假若未能观察，才在评估期间进行。,T恤1件,把T恤递给儿童，请儿童穿上。（T恤前幅向外、后幅向儿童、衣领向上。）,把衣领套到脖子上，然后逐个穿袖子；或者先穿好袖子，再把衣领套到脖子上 ，并且用于把衣服拉好,37,60
2-3-0-5-0,自理,自理穿衣技能,穿衣技能,穿T-恤,穿上背心内衣,暂无,暂无,暂无,暂无,37,60
2-3-0-5-1,自理,自理穿衣技能,穿衣技能,穿其他衣物,戴上帽子,暂无,暂无,暂无,暂无,13,36
2-3-0-5-2,自理,自理穿衣技能,穿衣技能,穿其他衣物,把指环套在手指上,暂无,暂无,暂无,暂无,13,36
2-3-0-5-3,自理,自理穿衣技能,穿衣技能,穿其他衣物,穿上没有个别手指部分的于套,暂无,暂无,暂无,暂无,25,48
2-3-0-6-0,自理,自理穿衣技能,穿衣技能,穿其他衣物,穿上有个别手指部分的手套,暂无,暂无,暂无,暂无,37,60
2-3-0-6-1,自理,自理穿衣技能,穿衣技能,穿其他衣物,把围巾围在脖子上,暂无,暂无,暂无,暂无,37,60
2-3-0-6-2,自理,自理穿衣技能,穿衣技能,处理鞋子的系扣物 -魔术贴,解开魔术贴,建议尽可能在日常程序下观察儿童表现，假若未能观察，才在评估期间进行。,用魔术贴扣合的鞋子1双,请儿童把鞋子上已经扣好的魔术贴拉开，观察儿童的表现,拉开已经扣好的魔术贴，完成1双,0,24
2-3-0-6-3,自理,自理穿衣技能,穿衣技能,处理鞋子的系扣物 -魔术贴,扣合魔术贴,建议尽可能在日常程序下观察儿童表现，假若未能观察，才在评估期间进行。,用魔术贴扣合的鞋子1双,请儿童把鞋子上拉开的魔术贴扣好，观察儿童的表现,把已经拉开的魔术贴扣，完成1双,13,36
2-3-0-6-4,自理,自理穿衣技能,穿衣技能,处理鞋子的系扣物-鞋扣-鞋带,解开鞋扣（穿扣类）,暂无,暂无,暂无,暂无,25,48
2-3-0-6-5,自理,自理穿衣技能,穿衣技能,处理鞋子的系扣物-鞋扣-鞋带,解开鞋带,暂无,暂无,暂无,暂无,25,48
2-3-0-6-6,自理,自理穿衣技能,穿衣技能,处理鞋子的系扣物-鞋扣-鞋带,扣合鞋扣（穿扣类）,暂无,暂无,暂无,暂无,37,60
2-3-0-6-7,自理,自理穿衣技能,穿衣技能,处理鞋子的系扣物-鞋扣-鞋带,用鞋带绑基本结,暂无,暂无,暂无,暂无,37,60
2-3-0-7-0,自理,自理穿衣技能,穿衣技能,处理鞋子的系扣物-鞋扣-鞋带,绑鞋带,暂无,暂无,暂无,暂无,49,72
2-3-0-7-1,自理,自理穿衣技能,穿衣技能,处理鞋子的系扣物-鞋扣-鞋带,穿鞋带,暂无,暂无,暂无,暂无,49,72
2-3-0-7-2,自理,自理穿衣技能,穿衣技能,处理拉链,拉开底部相连的拉链,暂无,暂无,暂无,暂无,0,24
2-3-0-7-3,自理,自理穿衣技能,穿衣技能,处理拉链,拉上底部相连的拉链,暂无,暂无,暂无,暂无,13,36
2-3-0-7-4,自理,自理穿衣技能,穿衣技能,处理拉链,拉开底部不相连的拉链,暂无,有开襟拉链的衣物,请儿童把已经拉上的拉链拉开，观察儿童的表现,把已经拉上的拉链从上到下完全拉开，并且把拉链分成两边,13,36
2-3-0-8-0,自理,自理穿衣技能,穿衣技能,处理拉链,拉上底部不相连的拉链,暂无,有开襟拉链的衣物,请儿童把已经拉开的拉链拉上，观察儿童的表现,扣好拉链头，并且把拉链从下到上完全拉上,37,60
2-3-0-8-1,自理,自理穿衣技能,穿衣技能,处理钮扣,解开轻放在桌子上的大钮扣,暂无,暂无,暂无,暂无,13,36
2-3-0-8-2,自理,自理穿衣技能,穿衣技能,处理钮扣,系上轻放在桌子上的大钮扣,暂无,暂无,暂无,暂无,13,36
2-3-0-8-3,自理,自理穿衣技能,穿衣技能,处理钮扣,解开大钮扣,暂无,开襟衣服（钮扣直径约2厘米）,请儿童把衣服上已经扣好的2颗或者2颗以上的大钮扣解开，观察儿童的表现,解开身上衣物最少2颗大钮扣（儿童只需完成衣服上的第1颗和第2颗钮扣）,25,48
2-3-0-8-4,自理,自理穿衣技能,穿衣技能,处理钮扣,系上大钮扣,暂无,开襟衣服（钮扣直径约2厘米）,请儿童把身上已经解开的2颗或者2颗以上的大钮扣系上，观察儿童的表现,系上身上衣物最少2颗大钮扣（儿童只需完成衣服上的第1颗和第2颗钮扣）,25,48
2-3-0-8-5,自理,自理穿衣技能,穿衣技能,处理钮扣,解开小钮扣,暂无,暂无,暂无,暂无,37,60
2-3-0-8-6,自理,自理穿衣技能,穿衣技能,处理钮扣,系上小钮扣,暂无,暂无,暂无,暂无,37,60
2-3-0-9-0,自理,自理穿衣技能,穿衣技能,处理其他系扣物,解开大暗扣,暂无,暂无,暂无,暂无,13,36
2-3-0-9-1,自理,自理穿衣技能,穿衣技能,处理其他系扣物,扣合大暗扣,暂无,暂无,暂无,暂无,25,48
2-3-0-9-2,自理,自理穿衣技能,穿衣技能,处理其他系扣物,扣上安全扣,暂无,暂无,暂无,暂无,25,48
2-3-0-9-3,自理,自理穿衣技能,穿衣技能,处理其他系扣物,解开皮带扣,暂无,暂无,暂无,暂无,25,48
2-3-0-9-4,自理,自理穿衣技能,穿衣技能,处理其他系扣物,解开安全扣,暂无,暂无,暂无,暂无,37,60
2-3-0-9-5,自理,自理穿衣技能,穿衣技能,处理其他系扣物,扣上皮带扣,暂无,暂无,暂无,暂无,37,60
2-3-0-9-6,自理,自理梳洗技能,梳洗技能,擦抹身体,用毛巾擦嘴巴,建议尽可能在日常程序下观察儿童表现，假若未能观察，才在评估期间进行。,湿毛巾1条,请儿童用毛巾擦嘴巴，清洁嘴部，观察儿童的表现,自己把毛巾放在嘴巴上，在嘴巴左右或者周围擦,0,24
2-3-0-9-7,自理,自理梳洗技能,梳洗技能,擦抹身体,用毛巾粗略地擦手,建议尽可能在日常程序下观察儿童表现，假若未能观察，才在评估期间进行。,毛巾1条,洗手后或者吃饭前后，把毛巾递给儿童，自己擦于，观察儿童的表现,自己用毛巾擦双手,0,24
2-3-0-10-0,自理,自理梳洗技能,梳洗技能,擦抹身体,用毛巾粗略地擦脸,暂无,暂无,暂无,暂无,0,24
